stock_id,stock_name,close,volume,turnover,date,liquidity_level,liquidity_tag,liquidity_score
1773,勝一,167.0,1741.208,290781736.00000006,2026-04-30,HIGH,高流動性,79.24
1776,展宇,16.5,82.14,1355310.0,2026-04-30,BLOCK,流動性不足,23.26
1777,生泰,70.9,17.051,1208915.9,2026-04-30,BLOCK,流動性不足,12.85
1781,合世,10.8,27.061,292258.8,2026-04-30,BLOCK,流動性不足,9.08
1783,和康生,38.9,196.839,7657037.1,2026-04-30,BLOCK,流動性不足,41.81
1784,訊聯,75.5,130.405,9845577.5,2026-04-30,BLOCK,流動性不足,40.71
1785,光洋科,165.5,53428.9,8842482950.000002,2026-04-30,HIGH,高流動性,98.78
1786,科妍,57.5,267.084,15357330.0,2026-04-30,MEDIUM,中流動性,49.87
1788,杏昌,136.0,34.624,4708864.000000001,2026-04-30,BLOCK,流動性不足,25.83
1789,神隆,20.3,614.239,12469051.700000001,2026-04-30,MEDIUM,中流動性,55.47
1795,美時,221.0,1792.543,396152002.99999994,2026-04-30,HIGH,高流動性,80.43
1796,金穎生技,38.0,27.84,1057920.0,2026-04-30,BLOCK,流動性不足,14.17
1799,易威,37.65,111.779,4208479.35,2026-04-30,BLOCK,流動性不足,33.33
1802,台玻,67.0,126951.852,8505774084.000001,2026-04-30,HIGH,高流動性,99.16
1805,寶徠,10.85,89.403,970022.55,2026-04-30,BLOCK,流動性不足,21.93
1806,冠軍,8.6,861.297,7407154.2,2026-04-30,MEDIUM,中流動性,53.82
1808,潤隆,28.7,2204.046,63256120.19999999,2026-04-30,MEDIUM,中流動性,73.61
1809,中釉,25.7,1409.413,36221914.1,2026-04-30,MEDIUM,中流動性,67.89
1810,和成,17.4,434.135,7553949.0,2026-04-30,MEDIUM,中流動性,48.52
1813,寶利徠,12.3,25.587,314720.1,2026-04-30,BLOCK,流動性不足,9.01
1815,富喬,108.5,41658.401,4519936508.5,2026-04-30,HIGH,高流動性,97.84
1817,凱撒衛,38.6,22.604,872514.4,2026-04-30,BLOCK,流動性不足,12.09
1903,士紙,49.45,149.859,7410527.550000001,2026-04-30,BLOCK,流動性不足,39.39
1904,正隆,17.6,1578.181,27775985.600000005,2026-04-30,MEDIUM,中流動性,67.25
1905,華紙,13.0,3044.498,39578474.0,2026-04-30,HIGH,高流動性,72.82
1906,寶隆,11.25,34.673,390071.25,2026-04-30,BLOCK,流動性不足,11.53
1907,永豐餘,23.6,1941.421,45817535.6,2026-04-30,MEDIUM,中流動性,71.2
1909,榮成,9.05,2398.789,21709040.450000003,2026-04-30,MEDIUM,中流動性,68.12
2002,中鋼,18.75,40997.251,768698456.2499999,2026-04-30,HIGH,高流動性,93.46
2006,東和鋼鐵,65.2,4460.673,290835879.59999996,2026-04-30,HIGH,高流動性,84.48
2007,燁興,7.46,407.147,3037316.62,2026-04-30,BLOCK,流動性不足,41.86
2008,高興昌,27.5,32.095,882612.5,2026-04-30,BLOCK,流動性不足,14.17
2009,第一銅,37.5,1336.302,50111325.0,2026-04-30,MEDIUM,中流動性,69.31
2010,春源,24.75,831.934,20590366.5,2026-04-30,MEDIUM,中流動性,60.76
2012,春雨,14.7,125.084,1838734.8,2026-04-30,BLOCK,流動性不足,28.5
2013,中鋼構,42.75,54.165,2315553.75,2026-04-30,BLOCK,流動性不足,23.61
2014,中鴻,17.6,3465.95,61000720.0,2026-04-30,HIGH,高流動性,75.8
2015,豐興,60.9,568.175,34601857.5,2026-04-30,MEDIUM,中流動性,61.4
2017,官田鋼,8.62,613.914,5291938.68,2026-04-30,MEDIUM,中流動性,49.41
2020,美亞,22.15,387.528,8583745.2,2026-04-30,MEDIUM,中流動性,48.45
2022,聚亨,8.12,685.42,5565610.399999999,2026-04-30,MEDIUM,中流動性,50.41
2023,燁輝,14.0,3047.393,42663502.0,2026-04-30,HIGH,高流動性,73.31
2024,志聯,14.1,26.264,370322.39999999997,2026-04-30,BLOCK,流動性不足,9.67
2025,千興,11.05,163.174,1803072.7000000002,2026-04-30,BLOCK,流動性不足,30.56
2027,大成鋼,37.7,20009.399,754354342.3000002,2026-04-30,HIGH,高流動性,92.14
