date,stock_id,close,volume,source_type,stage,main_force_score,accumulation_score,control_score,structure_score,test_move_score,pre_breakout_score,note
2026-04-24,1776,16.05,105329,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1783,39.45,184261,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1786,61.0,318078,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1789,20.35,851391,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1795,224.0,1703058,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1802,65.0,122228131,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1805,10.55,67818,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1806,8.14,299414,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1808,30.8,2712479,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1809,25.65,2295949,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1810,17.85,822559,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1817,38.65,34386,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1903,49.45,105418,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1904,18.25,1514653,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1905,13.6,7155613,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1906,11.5,131824,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1907,24.2,1369971,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1909,9.13,3019171,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2002,19.0,44297648,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2006,66.9,1791768,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2007,7.54,364870,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2008,27.9,18819,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2009,38.0,1622485,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2010,24.25,2810405,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2012,15.2,34897,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2013,42.4,180653,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2014,17.15,3571491,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2015,60.9,475922,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2017,8.79,617341,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2020,22.25,601246,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2022,8.12,872859,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2023,14.0,1713895,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2024,14.4,28690,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2025,11.4,97953,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2027,36.35,13789358,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2028,18.05,128836,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2029,20.2,155410,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2030,15.6,960481,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2031,38.85,517794,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2032,15.25,238135,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2033,16.2,105610,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2034,20.2,1310355,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2038,14.1,467032,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2049,293.5,6178801,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2059,3795.0,1669831,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2062,21.8,197547,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2069,18.8,183040,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2072,175.0,436124,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2101,33.4,5487670,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2102,19.2,736673,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2103,18.55,3077309,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2104,10.7,3898165,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2105,32.1,13662102,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2106,17.7,588754,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2107,26.0,553006,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2108,26.6,1706340,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2109,14.5,119806,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2114,88.5,27686,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2115,21.5,69319,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2201,27.1,2704056,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2204,53.2,1271729,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2206,56.6,2074149,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2207,493.5,312839,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2208,20.3,2530222,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2211,99.0,697188,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2227,54.4,21197,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2228,88.7,174485,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2231,130.0,2648619,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2233,241.5,1184459,latest_price_panel_stock_snapshot,,,,,,,,
