stock_id,stock_name,action,final_action,state_today_v26660,state_rank_today_v26660,state_transition_score_v26660,state_transition_label_v26660,state_transition_reason_v26660,ignition_upgrade_flag_v26660,chip_score,chip_signal,chip_reason,state_adjusted_score_v26660,memory_updated_at
1537,廣隆,WATCH,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,17.0,主力吸籌,爆量不跌｜均線結構｜法人偏多,82.935,2026-07-27 22:11:40
6670,復盛應用,TEST,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,4.0,一般,法人偏多,88.665,2026-07-27 22:11:40
9927,泰銘,TEST,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,13.0,一般,爆量不跌｜均線結構,99.017,2026-07-27 22:11:40
1537,廣隆,WATCH,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,17.0,主力吸籌,爆量不跌｜均線結構｜法人偏多,82.935,2026-07-27 22:11:40
1737,臺鹽,WATCH,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,5.0,一般,均線結構,79.476,2026-07-27 22:11:40
2849,安泰銀,,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,5.0,一般,均線結構,20.456,2026-07-27 22:11:40
6581,鋼聯,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,4.0,一般,法人偏多,65.397,2026-07-27 22:11:40
6581,鋼聯,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,4.0,一般,法人偏多,65.397,2026-07-27 22:11:40
3168,眾福科,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,4.0,一般,法人偏多,48.001,2026-07-27 22:11:40
3168,眾福科,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,4.0,一般,法人偏多,53.548,2026-07-27 22:11:40
5328,華容,WATCH,TEST,突破中,4,13,準IGNITION,首次追蹤:突破中｜狀態跳升｜具備點火條件,READY,9.0,一般,均線結構｜法人偏多,79.601,2026-07-27 22:11:40
2002,中鋼,TEST,TEST,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,63.21,2026-07-27 22:11:40
2605,新興,WATCH,TEST,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,67.699,2026-07-27 22:11:40
8114,振樺電,WATCH,TEST,試盤中,3,11,升級觀察,首次追蹤:試盤中｜狀態跳升｜狀態轉強,WATCH_UP,12.0,一般,爆量不跌｜法人偏多,96.997,2026-07-27 22:11:40
