engine,signal_date,trade_date,exit_date,symbol,market,signal_close,mom_5d,mom_20d,std_5d,trade_close,exit_close,trade_ret,weight_engine,weight_portfolio,wret
A,2026-02-26,2026-03-02,2026-03-04,2241,TWSE,29.1,-0.03642384105960261,-0.21983914209115274,0.0100158648976242,30.2,28.0,-0.07284768211920523,0.125,0.0375,-0.002731788079470196
A,2026-03-02,2026-03-03,2026-03-05,1538,TWSE,23.0,-0.0980392156862745,-0.13043478260869568,0.028325223761335068,23.0,19.55,-0.15000000000000002,0.125,0.0375,-0.005625000000000001
A,2026-03-02,2026-03-03,2026-03-05,1231,TWSE,85.8,-0.08235294117647063,-0.08626198083067105,0.007044074348340835,85.4,81.7,-0.04332552693208436,0.125,0.0375,-0.0016247072599531634
A,2026-03-02,2026-03-03,2026-03-05,1587,TWSE,43.45,-0.0645855758880517,-0.20856102003642984,0.013112905186269815,41.65,40.0,-0.03961584633853543,0.125,0.0375,-0.0014855942376950787
A,2026-03-02,2026-03-03,2026-03-05,1419,TWSE,67.4,-0.05865921787709483,-0.10846560846560838,0.0184624740231232,66.2,65.0,-0.01812688821752273,0.125,0.0375,-0.0006797583081571023
A,2026-03-02,2026-03-03,2026-03-05,2301,TWSE,169.0,-0.058495821727019504,0.04643962848297223,0.05695815376538267,165.0,161.0,-0.024242424242424288,0.125,0.0375,-0.0009090909090909107
A,2026-03-02,2026-03-03,2026-03-05,1563,TWSE,43.45,-0.050273224043715814,-0.09195402298850575,0.01617781377895947,44.85,43.15,-0.03790412486064665,0.125,0.0375,-0.0014214046822742493
A,2026-03-02,2026-03-03,2026-03-05,1445,TWSE,14.55,-0.0490196078431373,0.07380073800737996,0.0182601645371538,14.25,13.35,-0.06315789473684208,0.125,0.0375,-0.002368421052631578
A,2026-03-02,2026-03-03,2026-03-05,1442,TWSE,28.75,-0.046434494195688125,-0.043261231281198076,0.010904669705812605,28.05,27.65,-0.014260249554367332,0.125,0.0375,-0.0005347593582887749
A,2026-03-03,2026-03-04,2026-03-06,2301,TWSE,165.0,-0.10569105691056913,0.024844720496894457,0.05275873287585296,155.5,159.0,0.022508038585209,0.125,0.0375,0.0008440514469453375
A,2026-03-03,2026-03-04,2026-03-06,1587,TWSE,41.65,-0.1014023732470335,-0.1928294573643411,0.016235975288688403,38.85,39.4,0.01415701415701398,0.125,0.0375,0.0005308880308880242
A,2026-03-03,2026-03-04,2026-03-06,1538,TWSE,23.0,-0.08730158730158732,-0.12878787878787878,0.029647813552555538,21.7,17.8,-0.17972350230414735,0.125,0.0375,-0.006739631336405525
A,2026-03-03,2026-03-04,2026-03-06,1617,TWSE,15.0,-0.07975460122699396,-0.1071428571428572,0.01856979799797495,14.7,15.4,0.04761904761904767,0.125,0.0375,0.0017857142857142876
A,2026-03-03,2026-03-04,2026-03-06,1540,TWSE,22.9,-0.07287449392712553,-0.13584905660377367,0.010869781677148844,21.9,22.5,0.027397260273972712,0.125,0.0375,0.0010273972602739766
A,2026-03-03,2026-03-04,2026-03-06,1231,TWSE,85.4,-0.06971677559912848,-0.09052183173588924,0.00885051459862695,82.7,84.5,0.021765417170495738,0.125,0.0375,0.0008162031438935901
A,2026-03-03,2026-03-04,2026-03-06,1436,TWSE,54.8,-0.0696095076400679,-0.11038961038961048,0.017104052367604063,53.8,54.9,0.020446096654275214,0.125,0.0375,0.0007667286245353205
A,2026-03-03,2026-03-04,2026-03-06,2371,TWSE,34.85,-0.06818181818181812,-0.15103532277710097,0.027437205539995034,32.2,33.85,0.05124223602484457,0.125,0.0375,0.0019215838509316712
A,2026-03-04,2026-03-05,2026-03-09,2301,TWSE,155.5,-0.19638242894056845,-0.12146892655367236,0.03657866504290938,161.0,149.0,-0.07453416149068326,0.125,0.0375,-0.002795031055900622
A,2026-03-04,2026-03-05,2026-03-09,2374,TWSE,70.0,-0.14841849148418496,-0.18793503480278428,0.02942694540338055,72.8,68.2,-0.06318681318681307,0.125,0.0375,-0.00236950549450549
A,2026-03-04,2026-03-05,2026-03-09,2344,TWSE,104.0,-0.14754098360655743,-0.004784688995215336,0.05761663810527426,112.0,101.0,-0.0982142857142857,0.125,0.0375,-0.0036830357142857133
A,2026-03-04,2026-03-05,2026-03-09,1538,TWSE,21.7,-0.1473477406679764,-0.17647058823529416,0.029033998785352746,19.55,17.5,-0.1048593350383632,0.125,0.0375,-0.00393222506393862
A,2026-03-04,2026-03-05,2026-03-09,1587,TWSE,38.85,-0.13858093126385806,-0.24269005847953207,0.026587520672831686,40.0,37.5,-0.0625,0.125,0.0375,-0.00234375
A,2026-03-04,2026-03-05,2026-03-09,2337,TWSE,98.0,-0.13656387665198233,0.33514986376021794,0.06249887326533385,107.5,92.3,-0.14139534883720928,0.125,0.0375,-0.005302325581395348
A,2026-03-04,2026-03-05,2026-03-09,2371,TWSE,32.2,-0.13440860215053763,-0.19800747198007462,0.03816469308340694,33.05,32.4,-0.01966717095310133,0.125,0.0375,-0.0007375189107412999
A,2026-03-04,2026-03-05,2026-03-09,2363,TWSE,48.4,-0.13416815742397137,-0.12159709618874781,0.026119490257783474,50.3,47.0,-0.0656063618290258,0.125,0.0375,-0.002460238568588467
A,2026-03-05,2026-03-06,2026-03-10,2104,TWSE,11.95,-0.12773722627737227,-0.012396694214876103,0.034744851597048085,12.85,12.45,-0.0311284046692607,0.125,0.0375,-0.0011673151750972762
A,2026-03-05,2026-03-06,2026-03-10,2239,TWSE,24.4,-0.12230215827338142,-0.17006802721088432,0.021741187860710342,24.9,24.45,-0.01807228915662651,0.125,0.0375,-0.0006777108433734941
A,2026-03-05,2026-03-06,2026-03-10,1445,TWSE,13.35,-0.12171052631578949,-0.06315789473684208,0.028262809306178825,13.3,13.3,0.0,0.125,0.0375,0.0
A,2026-03-05,2026-03-06,2026-03-10,1438,TWSE,31.3,-0.11581920903954801,-0.0486322188449847,0.029144088729411557,31.9,30.0,-0.059561128526645746,0.125,0.0375,-0.002233542319749215
A,2026-03-05,2026-03-06,2026-03-10,2375,TWSE,85.2,-0.10971786833855801,-0.16470588235294115,0.037266561136568385,85.5,80.3,-0.06081871345029244,0.125,0.0375,-0.0022807017543859665
