engine,date,symbol,market,close,mom_5,mom_10,std_5,ret_1d,weight,wret
B,2026-03-18,2383,TWSE,2700.0,0.1020408163265305,0.23287671232876717,0.04491984553168133,0.07037037037037042,0.0625,0.004398148148148151
B,2026-03-18,2344,TWSE,128.0,0.12280701754385959,0.23076923076923084,0.04792983765112611,-0.046875,0.0625,-0.0029296875
B,2026-03-19,2243,TWSE,19.7,0.2875816993464051,0.6485355648535565,0.06664711955137091,-0.01015228426395931,0.0625,-0.0006345177664974569
B,2026-03-19,2337,TWSE,157.0,0.5858585858585859,0.46046511627906983,0.03478961391878914,0.019108280254777066,0.0625,0.0011942675159235666
B,2026-03-19,2399,TWSE,33.85,0.29445506692160617,0.4312896405919664,0.03645971001554361,0.09896602658788778,0.0625,0.006185376661742986
B,2026-03-19,2368,TWSE,1005.0,0.10318331503841938,0.3654891304347827,0.04905382322511533,-0.01691542288557213,0.0625,-0.001057213930348258
B,2026-03-19,1309,TWSE,17.15,0.13576158940397343,0.3503937007874016,0.054917057916980205,0.055393586005831,0.0625,0.0034620991253644373
B,2026-03-19,1708,TWSE,46.45,0.2080624187256177,0.29567642956764306,0.05900428938724207,-0.03659849300322937,0.0625,-0.0022874058127018357
B,2026-03-19,1305,TWSE,15.45,0.10357142857142843,0.2821576763485476,0.04873192858223158,0.08737864077669921,0.0625,0.005461165048543701
B,2026-03-19,1809,TWSE,32.5,0.29224652087475156,0.27450980392156854,0.05972204617216695,-0.0015384615384614886,0.0625,-9.615384615384304e-05
B,2026-03-20,2243,TWSE,19.5,0.25,0.6386554621848739,0.06570702326863355,-0.02564102564102566,0.0625,-0.0016025641025641038
B,2026-03-20,2399,TWSE,37.2,0.41714285714285726,0.6034482758620692,0.0774971872950764,-0.07795698924731198,0.0625,-0.004872311827956999
B,2026-03-20,2337,TWSE,160.0,0.4746543778801844,0.5609756097560976,0.07476068266043726,-0.07187500000000002,0.0625,-0.004492187500000001
B,2026-03-20,1309,TWSE,18.1,0.18300653594771243,0.29749103942652355,0.0613161108410412,0.09944751381215444,0.0625,0.006215469613259653
B,2026-03-20,1305,TWSE,16.8,0.22181818181818191,0.26792452830188696,0.046220384946252975,0.09821428571428559,0.0625,0.006138392857142849
B,2026-03-20,2368,TWSE,988.0,0.056684491978609586,0.2474747474747474,0.04875475179299947,-0.02631578947368418,0.0625,-0.0016447368421052613
B,2026-03-20,1708,TWSE,44.75,0.138676844783715,0.2310866574965611,0.050489076571006576,-0.04804469273743017,0.0625,-0.0030027932960893858
B,2026-03-20,2316,TWSE,113.0,0.23632385120350108,0.21505376344086025,0.07581897883696556,-0.09734513274336287,0.0625,-0.0060840707964601795
B,2026-03-23,2243,TWSE,19.0,0.10787172011661816,0.6450216450216448,0.05022680144598034,0.018421052631579116,0.0625,0.0011513157894736947
B,2026-03-23,1735,TWSE,27.05,0.036398467432950055,0.40885416666666674,0.07159747454895972,-0.007393715341959317,0.0625,-0.0004621072088724573
B,2026-03-23,1305,TWSE,18.45,0.34671532846715336,0.31316725978647675,0.0640670904718816,-0.03794037940379402,0.0625,-0.0023712737127371264
B,2026-03-23,1309,TWSE,19.9,0.2208588957055213,0.30065359477124165,0.05209820401773861,0.005025125628140836,0.0625,0.00031407035175880227
B,2026-03-23,2388,TWSE,56.1,0.1333333333333333,0.28965517241379324,0.060228700759569875,-0.06060606060606055,0.0625,-0.0037878787878787845
B,2026-03-23,2383,TWSE,2795.0,0.0812379110251451,0.28505747126436787,0.042704942143035184,-0.03935599284436497,0.0625,-0.002459749552772811
B,2026-03-23,2368,TWSE,962.0,0.05830583058305838,0.26412614980289084,0.06322200929706888,-0.07692307692307687,0.0625,-0.0048076923076923045
B,2026-03-23,2360,TWSE,1520.0,0.048275862068965614,0.22580645161290325,0.04164360403432474,-0.02631578947368418,0.0625,-0.0016447368421052613
B,2026-03-24,2337,TWSE,136.5,0.04597701149425282,0.5049614112458654,0.07505815690768346,0.04029304029304037,0.0625,0.0025183150183150232
B,2026-03-24,1309,TWSE,20.0,0.26582278481012644,0.4285714285714286,0.07651079302624463,-0.0824999999999999,0.0625,-0.005156249999999994
B,2026-03-24,2351,TWSE,102.5,0.09275053304904057,0.2576687116564418,0.04732149882374992,-0.019512195121951237,0.0625,-0.0012195121951219523
B,2026-03-24,1308,TWSE,17.65,0.19661016949152543,0.21305841924398616,0.07509306139699877,-0.06798866855524077,0.0625,-0.004249291784702548
B,2026-03-24,2388,TWSE,52.7,0.04150197628458496,0.18161434977578472,0.06062787381861591,-0.015180265654649028,0.0625,-0.0009487666034155642
B,2026-03-24,2231,TWSE,99.4,0.22413793103448287,0.1625730994152048,0.05438134476714657,0.046277665995975825,0.0625,0.002892354124748489
B,2026-03-24,2059,TWSE,3520.0,0.05074626865671639,0.15032679738562083,0.038140020675873035,0.026988636363636465,0.0625,0.001686789772727279
B,2026-03-24,2405,TWSE,16.85,0.10855263157894757,0.12709030100334462,0.07501944728683091,-0.017804154302670683,0.0625,-0.0011127596439169177
B,2026-03-25,1309,TWSE,18.35,0.17628205128205132,0.3345454545454547,0.07624756221603464,0.09809264305177101,0.0625,0.006130790190735688
B,2026-03-25,2231,TWSE,104.0,0.2530120481927711,0.24253285543608127,0.03796014938296805,0.09615384615384626,0.0625,0.006009615384615391
B,2026-03-25,1597,TWSE,88.6,0.0965346534653464,0.18449197860962574,0.049481228965778216,-0.040632054176072185,0.0625,-0.0025395033860045116
B,2026-03-25,2351,TWSE,100.5,0.03076923076923066,0.18374558303886923,0.043591142397697666,-0.012935323383084563,0.0625,-0.0008084577114427852
B,2026-03-25,2383,TWSE,2845.0,0.05370370370370381,0.1612244897959183,0.04192290324001926,0.03514938488576447,0.0625,0.0021968365553602792
B,2026-03-25,1308,TWSE,16.45,0.12671232876712324,0.158450704225352,0.07459899547287789,0.09726443768996962,0.0625,0.006079027355623101
