stock_id,stock_name,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance,short_balance,margin_balance_change,short_balance_change,margin_valid,chip_market
1713,國化,-294000.0,0.0,0.0,-294000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1714,,-1155000.0,0.0,69704.0,-1085296.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1717,長興,-11368271.0,0.0,584364.0,-10783907.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1718,,-1187000.0,0.0,10551.0,-1176449.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1720,,-60000.0,0.0,0.0,-60000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1721,,124000.0,0.0,0.0,124000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1722,台肥,-1689660.0,-9000.0,4000.0,-1694660.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1723,中碳,5623.0,0.0,1696.0,7319.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1725,,-47000.0,0.0,0.0,-47000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1726,永記,-4473.0,0.0,0.0,-4473.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1727,中華化,-856000.0,0.0,0.0,-856000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1730,花仙子,-2000.0,0.0,135.0,-1865.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1731,美吾華,-6000.0,0.0,0.0,-6000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1732,毛寶,-21000.0,0.0,0.0,-21000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1733,五鼎,-1999.0,0.0,0.0,-1999.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1734,,-155000.0,0.0,0.0,-155000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1735,,-252000.0,0.0,0.0,-252000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1736,喬山,-280075.0,0.0,5000.0,-275075.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1737,,-2000.0,0.0,0.0,-2000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1742,台蠟,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,
1752,,20000.0,0.0,0.0,20000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1760,寶齡富錦,-158000.0,0.0,0.0,-158000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1762,中化生,-18000.0,0.0,0.0,-18000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1773,勝一,-394507.0,0.0,24144.0,-370363.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1776,,4000.0,0.0,0.0,4000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1777,生泰,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1781,,1.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1783,,-25000.0,0.0,0.0,-25000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1784,,1028.0,0.0,-1028.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1785,,481829.0,648859.0,-233970.0,896718.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX
1786,,-30000.0,0.0,306.0,-29694.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1788,杏昌,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1789,神隆,-17000.0,0.0,0.0,-17000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1795,,-46900.0,-1894.0,28787.0,-20007.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1796,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1799,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1802,台玻,10074895.0,0.0,307483.0,10382378.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1805,寶徠,-10000.0,0.0,0.0,-10000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1806,,-341000.0,0.0,0.0,-341000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1808,,-1301031.0,0.0,10000.0,-1291031.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1809,,-316000.0,0.0,0.0,-316000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1810,,85000.0,-31198.0,0.0,53802.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1813,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
