signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight,wret
2026-02-25,2026-02-26,2375,TWSE,95.7,0.15301204819277103,0.029425937552939853,-0.008359456635318674,0.25,-0.0020898641588296685
2026-02-26,2026-03-02,1802,TWSE,61.1,0.42757009345794406,0.044326543552945866,0.09983633387888702,0.2,0.019967266775777405
2026-02-26,2026-03-02,1727,TWSE,47.7,0.1777777777777778,0.041089080909911424,0.01991614255765195,0.2,0.00398322851153039
2026-02-26,2026-03-02,2059,TWSE,3445.0,0.1737649063032367,0.027074693980807023,-0.007256894049346929,0.2,-0.0014513788098693859
2026-02-26,2026-03-02,2383,TWSE,2440.0,0.15914489311163904,0.029593879487328792,-0.024590163934426257,0.2,-0.0049180327868852515
2026-02-26,2026-03-02,1307,TWSE,35.25,0.1519607843137254,0.0434718482294633,-0.03262411347517724,0.2,-0.006524822695035449
2026-03-02,2026-03-03,2344,TWSE,124.5,0.1800947867298579,0.04650774836808214,-0.09638554216867468,0.3333333333333333,-0.03212851405622489
2026-03-02,2026-03-03,2254,TWSE,69.1,0.17918088737201354,0.036836890466979286,-0.011577424023154759,0.3333333333333333,-0.0038591413410515862
2026-03-02,2026-03-03,1727,TWSE,48.65,0.15421115065243174,0.04127840176887155,0.021582733812949728,0.3333333333333333,0.007194244604316576
2026-03-03,2026-03-04,2338,TWSE,53.9,0.45675675675675675,0.04621230545705467,-0.09740259740259738,0.3333333333333333,-0.03246753246753246
2026-03-03,2026-03-04,2367,TWSE,72.4,0.29982046678635554,0.06348242803804997,-0.019337016574585753,0.3333333333333333,-0.006445672191528584
2026-03-03,2026-03-04,1735,TWSE,20.3,0.16332378223495714,0.06115267513749188,-0.08866995073891626,0.3333333333333333,-0.029556650246305417
2026-03-04,2026-03-05,1313,TWSE,12.8,0.1636363636363638,0.039834034060993284,-0.0390625,0.5,-0.01953125
2026-03-04,2026-03-05,2254,TWSE,69.7,0.15588723051409636,0.041136395696750885,0.021520803443328518,0.5,0.010760401721664259
2026-03-05,2026-03-06,1582,TWSE,82.3,0.1757142857142857,0.02000775407666577,0.09963547995139743,1.0,0.09963547995139743
2026-03-12,2026-03-13,1310,TWSE,11.75,0.21134020618556715,0.05489863088591824,0.008510638297872353,1.0,0.008510638297872353
2026-03-13,2026-03-16,2368,TWSE,935.0,0.18055555555555558,0.053843154217328965,-0.027807486631016065,1.0,-0.027807486631016065
2026-03-16,2026-03-17,2399,TWSE,27.15,0.2569444444444442,0.03857286360880906,0.03130755064456725,0.3333333333333333,0.01043585021485575
2026-03-16,2026-03-17,2313,TWSE,221.0,0.20765027322404372,0.03420159506774257,0.07013574660633481,0.3333333333333333,0.023378582202111604
2026-03-16,2026-03-17,2367,TWSE,74.0,0.19162640901771333,0.0401067914775372,0.037837837837837895,0.3333333333333333,0.012612612612612631
2026-03-17,2026-03-18,2399,TWSE,28.0,0.2641083521444696,0.03782456636248241,0.1,0.25,0.025
2026-03-17,2026-03-18,2367,TWSE,76.8,0.21711568938193326,0.03851704709324606,-0.01041666666666663,0.25,-0.0026041666666666574
2026-03-17,2026-03-18,2340,TWSE,29.4,0.1926977687626774,0.011489961420310333,-0.020408163265306034,0.25,-0.0051020408163265085
2026-03-17,2026-03-18,2351,TWSE,93.8,0.15092024539877302,0.018197514925726885,0.03944562899786774,0.25,0.009861407249466936
2026-03-18,2026-03-19,1708,TWSE,43.15,0.2172073342736247,0.049485877627278595,0.07647740440324458,0.5,0.03823870220162229
2026-03-18,2026-03-19,2347,TWSE,80.0,0.16618075801749277,0.038459982966218983,-0.019999999999999907,0.5,-0.009999999999999953
2026-03-19,2026-03-20,1735,TWSE,31.7,0.46759259259259256,0.04051661495309155,-0.08675078864353314,0.5,-0.04337539432176657
2026-03-19,2026-03-20,2348,TWSE,82.9,0.1578212290502794,0.03911047892032029,-0.012062726176115812,0.5,-0.006031363088057906
2026-03-20,2026-03-23,2337,TWSE,160.0,0.4746543778801844,0.03478961391878914,-0.07187500000000002,0.3333333333333333,-0.02395833333333334
2026-03-20,2026-03-23,2316,TWSE,113.0,0.23632385120350108,0.0583005331398728,-0.09734513274336287,0.3333333333333333,-0.03244837758112096
2026-03-20,2026-03-23,2329,TWSE,62.1,0.18060836501901134,0.0247626853181413,-0.08534621578099844,0.3333333333333333,-0.028448738593666145
2026-03-23,2026-03-24,2337,TWSE,148.5,0.24789915966386555,0.07476068266043728,-0.08080808080808077,0.5,-0.04040404040404039
2026-03-23,2026-03-24,2323,TWSE,11.95,0.15458937198067635,0.07339735855986594,-0.004184100418409997,0.5,-0.0020920502092049986
2026-03-24,2026-03-25,1309,TWSE,20.0,0.26582278481012644,0.05209820401773861,-0.0824999999999999,0.5,-0.04124999999999995
2026-03-24,2026-03-25,1308,TWSE,17.65,0.19661016949152543,0.05983233311059696,-0.06798866855524077,0.5,-0.033994334277620386
2026-03-25,2026-03-26,2231,TWSE,104.0,0.2530120481927711,0.05438134476714657,0.09615384615384626,1.0,0.09615384615384626
2026-03-30,2026-03-31,2355,TWSE,51.4,0.19119351100811133,0.04348401510560861,-0.0077821011673151474,1.0,-0.0077821011673151474
2026-03-31,2026-04-01,1723,TWSE,88.0,0.20547945205479445,0.055403625380030574,-0.01477272727272727,0.3333333333333333,-0.004924242424242423
2026-03-31,2026-04-01,1582,TWSE,98.6,0.20243902439024386,0.05869213531621593,0.09533468559837743,0.3333333333333333,0.031778228532792475
2026-03-31,2026-04-01,2355,TWSE,51.0,0.19999999999999996,0.04140451049627044,0.0352941176470587,0.3333333333333333,0.0117647058823529
2026-04-01,2026-04-02,1723,TWSE,86.7,0.19586206896551728,0.05713806023184727,-0.01730103806228378,0.5,-0.00865051903114189
2026-04-01,2026-04-02,2355,TWSE,52.8,0.17463848720800867,0.03990411991410198,-0.02083333333333326,0.5,-0.01041666666666663
