engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret
B,2026-02-23,2026-02-24,2383,TWSE,2175.0,0.11538461538461542,0.03915695983079762,0.06206896551724128,0.16666666666666666,0.049999999999999996,0.0031034482758620636
B,2026-02-23,2026-02-24,2301,TWSE,184.5,0.11480362537764344,0.02239884100137121,0.04878048780487809,0.16666666666666666,0.049999999999999996,0.0024390243902439046
B,2026-02-24,2026-02-25,2360,TWSE,1225.0,0.26680455015511884,0.039023939440107576,0.02448979591836742,0.16666666666666666,0.049999999999999996,0.0012244897959183708
B,2026-02-24,2026-02-25,2327,TWSE,301.0,0.21126760563380276,0.04234217362771859,-0.0033222591362126463,0.16666666666666666,0.049999999999999996,-0.0001661129568106323
B,2026-02-24,2026-02-25,2383,TWSE,2310.0,0.19999999999999996,0.03641334907412655,0.04761904761904767,0.16666666666666666,0.049999999999999996,0.0023809523809523833
B,2026-02-24,2026-02-25,2345,TWSE,1405.0,0.18067226890756305,0.05145260471651416,0.03202846975088969,0.16666666666666666,0.049999999999999996,0.0016014234875444842
B,2026-02-24,2026-02-25,2375,TWSE,95.6,0.17879161528976573,0.025510843705842477,0.0010460251046024993,0.16666666666666666,0.049999999999999996,5.2301255230124964e-05
B,2026-02-24,2026-02-25,1727,TWSE,47.75,0.1689106487148102,0.04268968952682751,0.0,0.16666666666666666,0.049999999999999996,0.0
B,2026-02-25,2026-02-26,1802,TWSE,61.3,0.37598204264870927,0.060213338215933124,-0.0032626427406198255,0.16666666666666666,0.049999999999999996,-0.00016313213703099126
B,2026-02-25,2026-02-26,2103,TWSE,20.8,0.2919254658385093,0.047017723893059624,-0.014423076923076983,0.16666666666666666,0.049999999999999996,-0.0007211538461538491
B,2026-02-25,2026-02-26,2104,TWSE,13.7,0.24545454545454537,0.04747512252246559,-0.03649635036496346,0.16666666666666666,0.049999999999999996,-0.0018248175182481727
