engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
A,2026-02-11,2026-02-23,2103,TWSE,16.25,0.12456747404844304,0.023358777634147673,0.0984615384615386,0.16642934094993445,0.09985760456996066,0.009832133373042295,97865.55215529136,False
A,2026-02-11,2026-02-23,2204,TWSE,59.3,0.07818181818181813,0.01709887717655613,-0.003372681281618828,0.12234807348284081,0.07340884408970448,-0.0002475846343666212,97865.55215529136,False
A,2026-02-11,2026-02-23,2208,TWSE,23.5,0.10070257611241207,0.024006612812024538,0.019148936170212627,0.10297698877638212,0.061786193265829265,0.001183139871047786,97865.55215529136,False
A,2026-02-11,2026-02-23,2345,TWSE,1450.0,0.2236286919831223,0.055567198604913444,-0.03448275862068961,0.09478483659901875,0.05687090195941124,-0.0019610655848072817,97865.55215529136,False
A,2026-02-11,2026-02-23,2383,TWSE,2195.0,0.18328840970350413,0.036088779305130644,-0.009111617312072884,0.1509546295317527,0.09057277771905162,-0.0008252644894674399,97865.55215529136,False
B,2026-02-11,2026-02-23,1232,TWSE,149.5,0.027491408934707806,0.005143944556151058,0.010033444816053505,0.2625710017950682,0.05251420035901365,0.0005268983313613406,97865.55215529136,False
B,2026-02-11,2026-02-23,1310,TWSE,9.01,0.020385050962627327,0.004026858925969217,0.002219755826859071,0.300930280055385,0.06018605601107701,0.0001335983485262546,97865.55215529136,False
B,2026-02-11,2026-02-23,1476,TWSE,426.0,0.047970479704797064,0.00965030871511142,0.02699530516431925,0.12107827441208421,0.024215654882416844,0.0006537089933046801,97865.55215529136,False
B,2026-02-11,2026-02-23,2106,TWSE,19.8,0.028571428571428692,0.0049648395961177354,0.0277777777777779,0.3154204437374625,0.0630840887474925,0.001752335798541466,97865.55215529136,False
A,2026-02-23,2026-02-24,1232,TWSE,151.0,0.030716723549488067,0.005541441055240432,0.0033112582781456013,0.10357745755332376,0.06214647453199425,0.00020578302825163074,98379.97395566141,False
A,2026-02-23,2026-02-24,1435,TWSE,23.0,0.12195121951219523,0.02163342212532812,0.0,0.10712303458204556,0.06427382074922733,0.0,98379.97395566141,False
A,2026-02-23,2026-02-24,1476,TWSE,437.5,0.05932203389830515,0.01238249791443316,-0.012571428571428567,0.07737070056200454,0.04642242033720272,-0.0005835961413819769,98379.97395566141,False
A,2026-02-23,2026-02-24,2107,TWSE,25.55,0.030241935483870996,0.005995047563351976,0.001956947162426559,0.0857817328720119,0.05146903972320714,0.00010072219123915006,98379.97395566141,False
A,2026-02-23,2026-02-24,2208,TWSE,23.95,0.14047619047619042,0.013757298874537992,0.014613778705636848,0.35147957748158404,0.21088774648895042,0.003081866858919966,98379.97395566141,False
A,2026-02-23,2026-02-24,2301,TWSE,184.5,0.11480362537764344,0.02239884100137121,0.04878048780487809,0.08855664077431352,0.053133984464588106,0.002591901681199422,98379.97395566141,False
A,2026-02-23,2026-02-24,2317,TWSE,228.5,0.06032482598607891,0.01097866572530478,0.015317286652078765,0.10177802366070135,0.06106681419642081,0.0009353778979758105,98379.97395566141,False
A,2026-02-23,2026-02-24,2345,TWSE,1400.0,0.24444444444444446,0.04887225175562522,0.0035714285714285587,0.0843328325140153,0.05059969950840919,0.00018071321253003216,98379.97395566141,False
B,2026-02-23,2026-02-24,1232,TWSE,151.0,0.030716723549488067,0.005541441055240432,0.0033112582781456013,0.05961404035316366,0.011922808070632732,3.947949692262382e-05,98379.97395566141,False
B,2026-02-23,2026-02-24,1315,TWSE,65.4,0.02187500000000009,0.004160217258734233,0.0,0.07145209125900887,0.014290418251801771,0.0,98379.97395566141,False
B,2026-02-23,2026-02-24,1733,TWSE,30.8,0.024958402662229595,0.002041232239898185,-0.009740259740259716,0.7874497447941748,0.15748994895883497,-0.0015339930093392978,98379.97395566141,False
B,2026-02-23,2026-02-24,2208,TWSE,23.95,0.14047619047619042,0.013757298874537992,0.014613778705636848,0.08148412359365254,0.016296824718730507,0.00023815819004408012,98379.97395566141,False
A,2026-02-24,2026-02-25,1225,TWSE,29.15,0.03368794326241131,0.0023358221595513188,0.00857632933104635,0.19511955819527038,0.11707173491716223,0.0010040457540065417,98552.18982311014,False
A,2026-02-24,2026-02-25,1608,TWSE,36.6,0.12269938650306744,0.010395151943620036,-0.013661202185792365,0.1306937278682768,0.07841623672096608,-0.0010712600644940734,98552.18982311014,False
A,2026-02-24,2026-02-25,2009,TWSE,46.55,0.09658421672555928,0.006300421973969484,-0.004296455424274925,0.22044722771918743,0.13226833663151244,-0.0005682850123802834,98552.18982311014,False
A,2026-02-24,2026-02-25,2107,TWSE,25.6,0.036437246963562764,0.003619315335932771,0.00390625,0.09507574924684026,0.05704544954810415,0.00022283378729728184,98552.18982311014,False
A,2026-02-24,2026-02-25,2208,TWSE,24.3,0.1146788990825689,0.012879822427564842,-0.008230452674897082,0.07436677392630285,0.04462006435578171,-0.00036724332803112354,98552.18982311014,False
A,2026-02-24,2026-02-25,2301,TWSE,193.5,0.17629179331306988,0.018152043542642597,-0.007751937984496138,0.08847994099299065,0.05308796459579439,-0.00041153460926972464,98552.18982311014,False
A,2026-02-24,2026-02-25,2317,TWSE,232.0,0.07906976744186056,0.007612273451786721,0.0625,0.10121008216190283,0.060726049297141704,0.0037953780810713565,98552.18982311014,False
A,2026-02-24,2026-02-25,2337,TWSE,113.5,0.40470297029702973,0.04029867329552061,-0.048458149779735726,0.09460693988922876,0.05676416393353726,-0.0027506863580128212,98552.18982311014,False
